"금연구역명",금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,금연구역면적,위반과태료,위반신고전화번호,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
"압구정중학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교절대보호구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 압구정로 225,서울특별시 강남구 압구정동 471,서울특별시 강남구청,37.519296,127.024318,2017-11-17
"언북중학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교절대보호구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 도산대로38길 27,서울특별시 강남구 논현동 69,서울특별시 강남구청,37.514320,127.037649,2017-11-17
"언주중학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교절대보호구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 선릉로116길 57,서울특별시 강남구 삼성동 28,서울특별시 강남구청,37.495687,127.040324,2017-11-17
"역삼중학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교절대보호구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 도곡로43길 10,서울특별시 강남구 역삼동 767-20,서울특별시 강남구청,37.487958,127.027170,2017-11-17
"은성중학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교절대보호구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 남부순환로359길 36,서울특별시 강남구 도곡동 938-10,서울특별시 강남구청,37.488335,127.069866,2017-11-17
"중동중학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교절대보호구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 일원로8길 37,서울특별시 강남구 일원2동 692,서울특별시 강남구청,37.501770,127.038884,2017-11-17
"진선여자중학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교절대보호구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 선릉로85길 27,서울특별시 강남구 선릉로85길 27,서울특별시 강남구청,37.528596,127.036678,2017-11-17
"청담중학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교절대보호구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 압구정로61길 36,서울특별시 강남구 청담동 143,서울특별시 강남구청,37.504967,127.053311,2017-11-17
"휘문중학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교절대보호구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 역삼로 541,서울특별시 강남구 대치동 952-1,서울특별시 강남구청,37.475994,127.042858,2017-11-17
"국악중학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교절대보호구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 개포로22길 65,서울특별시 강남구 개포동 1272,서울특별시 강남구청,37.484694,127.050847,2017-11-17
"개포고등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교절대보호구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 개포로 402,서울특별시 강남구 개포동 173번지,서울특별시 강남구청,37.516386,127.045645,2017-11-17
"경기고등학교",출입문으로부터 직선거리 50m까지,서울특별시,강남구,학교절대보호구역,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 영동대로 643,서울특별시 강남구 삼성동 74번지,서울특별시 강남구청,37.486840,127.057339,2017-11-17
"(주)남서울가스",영업허가 면적 경계선까지,서울특별시,강남구,가스충전소,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 남부순환로 3154,서울특별시 강남구 남부순환로 3154(대치동 21-1),서울특별시 강남구청,37.490532,127.027013,2017-11-17
"(주)진양가스",영업허가 면적 경계선까지,서울특별시,강남구,가스충전소,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 도곡로 142,서울특별시 강남구 도곡로 142(도곡동 552-5),서울특별시 강남구청,37.513647,127.022591,2017-11-17
"(주)상현상사",영업허가 면적 경계선까지,서울특별시,강남구,가스충전소,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 학동로 204,서울특별시 강남구 학동로 204(논현동 207),서울특별시 강남구청,37.499316,127.069335,2017-11-17
"개포개나리공원",시설전체,서울특별시,강남구,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,1501,100000,02-3423-7115,서울특별시 강남구 영동대로4길 17,서울특별시 강남구 일원동 612,서울특별시 강남구청,37.490611,127.056816,2017-11-17
"개포은행나무공원",시설전체,서울특별시,강남구,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,1642,100000,02-3423-7115,서울특별시 강남구 포이동 220,서울특별시 강남구 포이동 220,서울특별시 강남구청,37.400236,127.108574,2017-11-17
"개포목련공원",시설전체,서울특별시,강남구,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,1639,100000,02-3423-7115,서울특별시 강남구 포이동 176,서울특별시 강남구 포이동 176,서울특별시 강남구청,37.500546,126.646093,2017-11-17
"일원은행나무공원",시설전체,서울특별시,강남구,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,1500,100000,02-3423-7115,서울특별시 강남구 개포로110길 15,서울특별시 강남구 일원동 615-2,서울특별시 강남구청,37.491984,127.059459,2017-11-17
"일원목련공원",시설전체,서울특별시,강남구,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,1614,100000,02-3423-7115,서울특별시 강남구 양재대로47길 22,서울특별시 강남구 일원동 658,서울특별시 강남구청,37.491413,127.068053,2017-11-17
"일원까치공원",시설전체,서울특별시,강남구,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,1476,100000,02-3423-7115,서울특별시 강남구 양재대로55길 14,서울특별시 강남구 일원동 712-4,서울특별시 강남구청,37.492042,127.070664,2017-11-17
"궁마을공원",시설전체,서울특별시,강남구,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,306,100000,02-3423-7115,서울특별시 강남구 광평로42길 18,서울특별시 강남구 수서동 465-15,서울특별시 강남구청,37.484813,127.081892,2017-11-17
"예지공원",시설전체,서울특별시,강남구,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,1536,100000,02-3423-7115,서울특별시 강남구 개포로 605,서울특별시 강남구 개포동 12-7,서울특별시 강남구청,37.491935,127.055651,2017-11-17
"한마음공원",시설전체,서울특별시,강남구,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,2488,100000,02-3423-7115,서울특별시 강남구 개포로109길 69,서울특별시 강남구 개포동 12-3,서울특별시 강남구청,37.496118,127.075783,2017-11-17
"초록나라어린이집",건축물경계로부터 10m까지,서울특별시,강남구,어린이집,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 강남대로124길22논현1동161-5 2층,서울특별시 강남구 강남대로124길22논현1동161-5 2층,서울특별시 강남구청,37.509117,127.007073,2017-11-17
"세곡연두어린이집",건축물경계로부터 10m까지,서울특별시,강남구,어린이집,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 자곡로21,서울특별시 강남구 자곡로21,서울특별시 강남구청,37.470482,127.088766,2017-11-17
"세곡푸르지오어린이집",건축물경계로부터 10m까지,서울특별시,강남구,어린이집,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 자곡로 21,서울특별시 강남구 자곡로21 LH 푸르지오아파트 단지내,서울특별시 강남구청,37.512425,127.036787,2017-11-17
"수연어린이집",건축물경계로부터 10m까지,서울특별시,강남구,어린이집,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 봉은사로59길 22,서울특별시 강남구 봉은사로59길 22,서울특별시 강남구청,37.499453,127.031127,2017-11-17
"신한마리오어린이집",건축물경계로부터 10m까지,서울특별시,강남구,어린이집,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 테헤란로30길 27,서울특별시 강남구 테헤란로 30길 27,서울특별시 강남구청,37.499684,126.759699,2017-11-17
"예다솜어린이집",건축물경계로부터 10m까지,서울특별시,강남구,어린이집,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 헌릉로571길 20,서울특별시 강남구 헌릉로571길 20,서울특별시 강남구청,37.493766,127.074270,2017-11-17
"아이트라움어린이집",건축물경계로부터 10m까지,서울특별시,강남구,어린이집,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 개포로124길 13,서울특별시 강남구 개포로124길 13,서울특별시 강남구청,37.494891,127.047763,2017-11-17
"이화유치원",건축물경계로부터 10m까지,서울특별시,강남구,유치원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,"서울특별시 강남구 개포로110길 15 (일원동, 우성7차아파트)",서울특별시 강남구 개포동 12 대치1차 APT내(內),서울특별시 강남구청,37.493964,127.057588,2017-11-17
"성요셉유치원",건축물경계로부터 10m까지,서울특별시,강남구,유치원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,"서울특별시 강남구 개포로109길 5 (개포동, 대치아파트)",서울특별시 강남구 청담동 117,서울특별시 강남구청,37.526825,127.030728,2017-11-17
"오즈의마법사유치원",건축물경계로부터 10m까지,서울특별시,강남구,유치원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,"서울특별시 강남구 개포로109길 9 (개포동, 대치아파트)",서울특별시 강남구 세곡동 171번지,서울특별시 강남구청,37.463927,127.088583,2017-11-17
"세명초등학교병설유치원",건축물경계로부터 10m까지,서울특별시,강남구,유치원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,"서울특별시 강남구 개포로109길 21 (개포동, 대청아파트)",서울특별시 강남구 세곡동 464-9번지,서울특별시 강남구청,37.468412,127.073473,2017-11-17
"대왕초등학교병설유치원",건축물경계로부터 10m까지,서울특별시,강남구,유치원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,,100000,02-3423-7115,서울특별시 강남구 헌릉로 618길 8번지,서울특별시 강남구 헌릉로 618길 8번지,서울특별시 강남구청,37.463551,127.103969,2017-11-17
